Police Station,Latitude,Longitude
Banashankari,12.93297,77.58381
Basavanagudi,12.9217529,77.5825697
C K Achuktu,12.931199,77.555906
Girinagar,12.94452964,77.57658159
Hanumantha Nagar,12.910375,77.5885265
J P Nagar,12.88744307,77.56855708
Jayanagar,12.90254287,77.5616066
K G Nagar,12.92220311,77.54077224
K S Layout,12.938858,77.564511
Konanakunte,12.9067229,77.5735098
Puttenahalli,12.95142,77.558217
Shankarapua,13.514444,77.643056
Siddapura,12.917986,77.553778
Subramanyapura,12.92208,77.58953
Thalaghtappura,12.86825,77.582172
V V Puram,12.934933,77.541515
Anekal,12.72035934,77.6954733
Attibele,12.76910425,77.76749816
Chandapura,12.80056357,77.70607341
Whitefield,12.97357736,77.75823649
Electronic City,12.84082601,77.68204619
Koramangala,12.93092128,77.62866448
Hebbal,13.04284865,77.59436781
Indiranagar,12.98487526,77.63340235
Yelahanka,13.10556704,77.59429723
Rajajinagar,12.99180978,77.54582432
