Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.93297,77.58381,21,0,7,3,2,7
12.930433,77.549761,23,3,11,3,2,7
12.923736,77.58182,21,4,10,3,2,7
12.924123,77.576913,19,6,7,1,2,7
12.924377,77.582729,23,4,6,3,2,7
12.920604,77.520557,21,5,7,3,2,7
12.940662,77.574095,9,4,8,2,2,7
12.93878218,77.57956109,21,2,6,3,2,7
12.9399013,77.57337112,18,5,2,1,2,7
12.944557,77.57758,18,1,7,1,2,7
12.9076508,77.5951967,6,6,7,2,2,7
12.9076508,77.5951967,4,1,1,3,2,7
12.9030543,77.5813948,8,5,8,2,2,7
12.9036647,77.5785439,7,1,5,2,2,7
12.9004589,77.5684636,9,4,6,2,2,7
12.909427,77.5706543,2,6,11,3,2,7
12.9039655,77.5804308,2,1,11,3,2,7
12.9039653,77.5738647,2,1,1,3,2,7
12.9124543,77.5737283,2,1,1,3,2,7
12.9108342,77.5866704,1,3,8,3,2,7
12.9071236,77.583816,2,3,8,3,2,7
13.018056,77.751944,21,0,3,3,2,7
14.442222,78.750556,8,5,4,2,2,7
14.405833,79.149167,6,0,8,2,2,7
13.215278,78.304722,0,1,5,3,2,7
12.91986,77.56931,22,0,2,3,2,7
13.741111,77.830833,19,2,9,1,2,7
12.958864,77.638363,11,1,11,2,2,7
12.946595,77.59197,16,4,7,0,2,7
12.945264,77.59271,16,6,12,0,2,7
12.946042,77.593699,22,5,10,3,2,7
12.946042,77.593699,21,1,5,3,2,7
12.944408,77.593165,2,2,6,3,2,7
12.89050892,77.57361002,6,2,5,2,2,7
12.90976685,77.55679873,15,6,9,0,2,7
12.901082,77.54753806,16,3,3,0,2,7
12.86854765,77.5801126,21,4,3,3,2,7
12.90958449,77.55159728,9,6,5,2,2,7
12.88328789,77.58130555,0,0,1,3,2,7
12.8776868,77.58071703,0,2,1,3,2,7
12.8887116,77.57377343,0,3,4,3,2,7
12.89537161,77.55032355,0,0,8,3,2,7
12.90932828,77.5437415,0,5,8,3,2,7
12.87932828,77.5737415,0,3,10,3,2,7
12.90714279,77.53486998,0,6,11,3,2,7
12.90245473,77.54181407,20,3,2,1,2,7
12.88563257,77.5482591,21,3,12,3,2,7
12.88948381,77.56232091,23,6,4,3,2,7
12.90108207,77.54753806,3,0,10,3,2,7
12.9057223,77.53558126,22,2,12,3,2,7
12.88289563,77.56647782,3,2,10,3,2,7
12.8967726,77.5445644,10,0,9,2,2,7
12.91082367,77.54398174,13,1,8,0,2,7
12.913512,77.554144,21,3,7,3,2,7
12.91084893,77.53745649,17,0,5,1,2,7
12.87583,77.511157,15,3,2,0,2,7
12.894725,77.542178,5,5,3,2,2,7
12.874853,77.554205,16,3,3,0,2,7
12.860873,77.520947,14,4,1,0,2,7
12.864755,77.528047,12,5,1,0,2,7
12.871198,77.536856,12,4,4,0,2,7
12.853954,77.553705,10,1,4,2,2,7
12.870574,77.571346,4,1,5,3,2,7
12.87548,77.535128,4,5,8,3,2,7
12.870129,77.556345,22,6,1,3,2,7
12.878193,77.535515,21,2,7,3,2,7
12.848726,77.572816,18,6,9,1,2,7
12.872393,77.557753,19,5,10,1,2,7
12.871255,77.56033,10,2,10,2,2,7
12.879671,77.54543,20,3,3,1,2,7
12.859739,77.562719,14,1,8,0,2,7
12.862041,77.563487,1,1,10,3,2,7
12.893051,77.543007,20,3,11,1,2,7
12.879223,77.567169,0,0,1,3,2,7
12.882152,77.565325,1,1,4,3,2,7
12.84488,77.583729,8,2,7,2,2,7
12.890277,77.57144,15,6,1,0,2,7
12.885583,77.57054,0,2,11,3,2,7
12.889932,77.57465,4,1,7,3,2,7
12.861345,77.579767,0,6,1,3,2,7
12.845887,77.583885,23,6,11,3,2,7
12.873733,77.579546,16,4,6,0,2,7
14.548889,78.2775,11,3,4,2,2,7
12.875176,77.57889,16,6,7,0,2,7
12.898898,77.576405,16,3,8,0,2,7
12.906331,77.59179,8,4,8,2,2,7
12.90903,77.58764,4,2,11,3,2,7
12.906448,77.587569,17,1,2,1,2,7
12.89643,77.578607,18,6,5,1,2,7
12.901612,77.586583,10,5,11,2,2,7
12.89667299,77.56075138,0,3,2,3,2,7
12.90509645,77.571337,0,4,4,3,2,7
12.90769453,77.57198522,0,0,11,3,2,7
12.90089276,77.56988137,0,5,11,3,2,7
12.90233856,77.56532528,0,5,7,3,2,7
12.91449059,77.57210648,0,3,7,3,2,7
12.91054686,77.56074553,0,6,4,3,2,7
